freq,psd_x,psd_y,psd_z,psd_xyz
151.7,2.888e+03,1.403e+03,4.831e+02,4.774e+03
153.2,3.601e+03,1.361e+03,5.898e+02,5.552e+03
154.8,3.933e+03,1.509e+03,7.292e+02,6.171e+03
156.3,3.808e+03,1.805e+03,8.010e+02,6.414e+03
157.8,3.827e+03,2.626e+03,1.000e+03,7.454e+03
159.4,3.996e+03,4.506e+03,1.304e+03,9.806e+03
160.9,4.715e+03,4.819e+03,1.461e+03,1.100e+04
162.4,6.108e+03,3.745e+03,1.714e+03,1.157e+04
164.0,7.453e+03,3.522e+03,2.217e+03,1.319e+04
165.5,1.255e+04,5.629e+03,2.529e+03,2.071e+04
167.0,2.390e+04,1.000e+04,2.992e+03,3.689e+04
168.6,4.671e+04,1.278e+04,3.736e+03,6.323e+04
170.1,8.503e+04,1.417e+04,5.232e+03,1.044e+05
171.6,1.423e+05,1.736e+04,9.237e+03,1.689e+05
173.2,1.534e+05,1.430e+04,9.207e+03,1.769e+05
174.7,9.692e+04,6.866e+03,3.383e+03,1.072e+05
176.2,5.733e+04,5.503e+03,2.625e+03,6.546e+04
177.8,2.970e+04,3.531e+03,2.675e+03,3.591e+04
179.3,2.837e+04,3.951e+03,2.750e+03,3.507e+04
180.8,2.833e+04,5.322e+03,2.843e+03,3.649e+04
182.4,2.713e+04,8.449e+03,3.335e+03,3.891e+04
183.9,2.505e+04,1.170e+04,3.834e+03,4.058e+04
185.4,2.173e+04,1.472e+04,4.158e+03,4.061e+04
187.0,2.059e+04,1.870e+04,4.479e+03,4.377e+04
188.5,2.015e+04,2.289e+04,4.615e+03,4.765e+04
190.0,1.865e+04,2.615e+04,4.368e+03,4.917e+04
191.6,2.141e+04,3.061e+04,4.116e+03,5.613e+04
193.1,2.369e+04,3.380e+04,3.697e+03,6.119e+04
194.6,2.679e+04,3.786e+04,3.421e+03,6.808e+04
196.2,2.834e+04,3.942e+04,3.134e+03,7.090e+04
197.7,2.735e+04,3.872e+04,2.917e+03,6.899e+04
199.2,2.585e+04,3.589e+04,2.792e+03,6.454e+04
200.7,2.594e+04,3.528e+04,3.099e+03,6.433e+04
202.3,2.343e+04,3.149e+04,3.155e+03,5.808e+04
