freq,psd_x,psd_y,psd_z,psd_xyz
174.9,9.707e+03,1.381e+04,1.122e+03,2.464e+04
176.4,1.095e+04,1.230e+04,9.811e+02,2.423e+04
177.9,1.130e+04,1.068e+04,8.370e+02,2.283e+04
179.5,1.219e+04,1.179e+04,8.539e+02,2.483e+04
181.0,1.284e+04,1.695e+04,1.014e+03,3.081e+04
182.5,1.444e+04,2.215e+04,1.392e+03,3.798e+04
184.1,1.463e+04,1.969e+04,1.257e+03,3.557e+04
185.6,1.675e+04,2.199e+04,1.214e+03,3.995e+04
187.1,1.966e+04,2.649e+04,1.387e+03,4.753e+04
188.7,2.106e+04,2.910e+04,1.560e+03,5.171e+04
190.2,2.280e+04,3.201e+04,1.822e+03,5.663e+04
191.7,2.423e+04,3.384e+04,2.298e+03,6.037e+04
193.3,2.353e+04,3.145e+04,2.958e+03,5.794e+04
194.8,2.545e+04,3.425e+04,4.105e+03,6.380e+04
196.3,2.300e+04,3.446e+04,5.196e+03,6.266e+04
197.9,1.833e+04,3.082e+04,4.421e+03,5.358e+04
199.4,1.723e+04,3.262e+04,3.570e+03,5.342e+04
201.0,2.107e+04,3.925e+04,3.168e+03,6.349e+04
202.5,2.163e+04,3.923e+04,2.618e+03,6.347e+04
